x,y,z,aream2,_CLASE
-86.9555145,20.73949218,-4.3,139.676463,S&B
-86.95465998,20.73958572,-3.3,838.05183,S&B
-86.95561616,20.73971318,-4.2,192.055283,S&B
-86.95329439,20.739722,-5.3,279.346753,S&B
-86.95600959,20.73955332,-4.4,1903.101523,S&B
-86.95515421,20.73979931,-3.3,69.837959,S&B
-86.95454854,20.73987462,-3.3,995.185152,S&B
-86.95581693,20.73999325,-3.9,157.136408,S&B
-86.95553657,20.73993785,-4,925.356125,S&B
-86.9543326,20.74012532,-3.9,663.454889,S&B
-86.95469781,20.7402274,-3.4,628.538512,S&B
-86.95556346,20.74041386,-3.3,279.352758,S&B
-86.95622569,20.7404946,-4.2,855.523303,S&B
-86.95514159,20.74037576,-3.2,1536.43394,S&B
-86.95630659,20.74073934,-4.1,69.838671,S&B
-86.9554594,20.74069936,-3.9,87.29762,S&B
-86.95403202,20.74071886,-3.9,174.592756,S&B
-86.95622834,20.74083097,-4.1,244.435135,S&B
-86.95524515,20.74086104,-3.8,209.51378,S&B
-86.95419205,20.74062175,-3.7,3788.672544,S&B
-86.95425095,20.74094212,-3.6,69.837241,S&B
-86.95498577,20.74096942,-3.7,69.837746,S&B
-86.95630844,20.74098873,-4.1,87.298311,S&B
-86.95543815,20.74108429,-4.1,87.297556,S&B
-86.95521938,20.74107232,-3.7,296.811071,S&B
-86.95655621,20.74115506,-4.2,104.758215,S&B
-86.95560046,20.74115934,-4.1,69.838154,S&B
-86.95486232,20.74108509,-3.9,401.56647,S&B
-86.95400648,20.7411564,-4,314.266754,S&B
-86.95646493,20.74124991,-4.2,69.838741,S&B
-86.95524692,20.74126014,-3.5,576.16266,S&B
-86.95456194,20.74123238,-3.2,453.943234,S&B
-86.95583574,20.74132354,-4.2,209.514876,S&B
-86.95529013,20.7414222,-4.1,174.59479,S&B
-86.95467344,20.74144824,-3.9,69.837489,S&B
-86.95626794,20.74150295,-4.2,750.764591,S&B
-86.95605661,20.741568,-4.4,122.217253,S&B
-86.95564198,20.7415509,-4.3,628.54337,S&B
-86.95452795,20.74159988,-3.9,244.430842,S&B
-86.95517286,20.74169735,-4.5,331.729598,S&B
-86.9538841,20.74171459,-4,419.021557,S&B
-86.95605309,20.74174986,-4.3,436.490141,S&B
-86.95566863,20.74176092,-4.2,453.947953,S&B
-86.95426864,20.74186437,-3.7,401.563754,S&B
-86.9558054,20.74185966,-4.2,122.216905,S&B
-86.95346664,20.74182967,-4.5,279.346463,S&B
-86.95636007,20.74182486,-4.5,261.894813,S&B
-86.95259463,20.74201965,-5.1,87.295011,S&B
-86.95603725,20.74207659,-4.7,69.838375,S&B
-86.95529227,20.74212961,-5.4,157.135181,S&B
-86.95378471,20.74217087,-3.4,69.836815,S&B
-86.95252158,20.742163,-5.1,157.130884,S&B
-86.95396482,20.7421777,-3.1,139.673854,S&B
-86.95341967,20.74228824,-4.1,139.673108,S&B
-86.95262291,20.74238091,-5.2,314.262002,S&B
-86.95357609,20.74241712,-3.9,576.152369,S&B
-86.95513377,20.74263785,-6.8,162.37267,S&B
-86.95391392,20.74247468,-3.1,890.420068,S&B
-86.95283336,20.74266459,-4.6,466.864672,S&B
-86.95529165,20.74279927,-5.2,87.297251,S&B
-86.9527991,20.74292771,MISS,147.186128,S&B
-86.95525482,20.7429774,-5.4,122.216085,S&B
-86.953307,20.74290458,-4.2,2164.929094,S&B
-86.95343674,20.74356151,-5.2,768.201138,S&B
-86.95488539,20.73932937,-3.5,34.918907,Corals
-86.95373248,20.74019651,-4.7,34.918474,Corals
-86.95576883,20.74023319,-4.1,34.919172,Corals
-86.95329049,20.74066626,-5.3,52.377453,Corals
-86.95523065,20.74117279,-3.6,34.918948,Corals
-86.95653681,20.74182371,-4.6,34.919369,Corals
-86.9537895,20.74222057,-3.4,52.377611,Corals
-86.95642142,20.7422574,-4.8,34.919311,Corals
-86.9536358,20.74225668,-3.6,52.37753,Corals
-86.9559027,20.74232956,-4.3,52.378695,Corals
-86.95586423,20.74247412,-4.5,52.378666,Corals
-86.9561908,20.7425465,-4.8,34.91922,Corals
-86.95659419,20.74269117,-4.8,52.379028,Corals
-86.95290543,20.74337693,-5,52.377083,Corals
-86.95286455,20.7366385,-9.9,663.448159,Sediments
-86.95564173,20.73749783,-5.3,87924.00735,Sediments
-86.95594517,20.73533292,-5.9,161.660456,Macroalgae
-86.95575107,20.73499854,-5.4,752.705659,Corals
-86.95409892,20.7354638,-8.3,157.134601,Corals
-86.95396707,20.73739194,-6.1,1253.593878,Corals
-86.95378937,20.73767644,MISS,50.160031,Corals
-86.95378601,20.73807619,-6.2,1944.290241,Corals
-86.95568591,20.73538745,-5.4,670.923967,S&B
-86.95415141,20.73655064,-8.3,335.798933,S&B
-86.95398447,20.73671097,-8.3,27.059752,S&B
-86.95624414,20.73881852,-5.4,1459.374414,S&B
-86.95512653,20.73640513,-5.7,146363.618,S&B
-86.95407877,20.73538135,-8.2,349.187966,Octocorals
-86.95417079,20.73620941,-8.9,3446.93137,Octocorals
-86.95388191,20.73706269,-8.3,11.617675,Octocorals
-86.95367176,20.73788224,MISS,91.51469,Octocorals
-86.95359212,20.73825819,-8.3,99.461763,Octocorals
-86.95392203,20.73687783,-8.2,1.497561,Corals
-86.95360789,20.7380764,-8.1,8.676862,Corals
-86.95353711,20.73833001,-7.9,3.588697,Corals
-86.95383076,20.73866377,-5.5,942.801464,Sediments
-86.95468618,20.7389312,-4.4,852.342306,Sediments
