x,y,z,aream2
-86.95575132,20.73916025,-4.5,52.378818
-86.95340341,20.73257114,-10.9,151.278932
-86.9572431,20.73383482,-1.4,2171.788529
-86.95671899,20.73011671,-6.1,554.942512
-86.9560256,20.73081869,MISS,147.067907
-86.9559707,20.73103259,-5.6,236.66473
-86.95498382,20.73132357,-8.2,69.83856
-86.95552904,20.73147364,MISS,285.575069
-86.95530288,20.73199357,-6.2,238.497926
-86.95505835,20.73256746,-6,1966.700331
-86.95484888,20.73291385,-6.6,69.838333
-86.95476561,20.73298913,-7.2,104.757397
-86.9545662,20.73316799,-5.9,229.372802
-86.95706204,20.73245319,-0.6,14876.87885
-86.95444883,20.73337848,-6.2,443.3592
-86.95762451,20.73366209,MISS,8.580336
-86.95746196,20.73365383,MISS,83.117775
-86.95704197,20.7335113,-2.1,328.038061
-86.95458307,20.73397424,-5.3,872.975615
-86.95512917,20.73449475,-5,3166.74483
-86.95268993,20.7345936,-9.9,100986.4938
-86.95584838,20.73090814,-7.3,34.919595
-86.95500631,20.73105049,-8.3,157.136852
-86.95500298,20.73148622,-8.3,34.91928
-86.95477242,20.73163073,-8.3,34.919194
-86.95450335,20.73206439,-8.3,34.919083
-86.95458016,20.73217284,-8.2,34.919105
-86.9545417,20.73228126,-8.3,34.919087
-86.954388,20.7323535,-8.6,34.919032
-86.95402302,20.73235341,-8.4,17.459453
-86.95469535,20.73238973,-8.3,34.919136
-86.95461848,20.73249814,-8.2,34.919105
-86.95442634,20.73264266,-8.3,34.919032
-86.95404211,20.73275099,-8.1,34.918896
-86.95404205,20.73293171,-8.6,34.918888
-86.95733556,20.73358099,-2.6,6.606655
-86.95350385,20.73397974,-8.4,34.918658
-86.96073341,20.73044841,MISS,6927.14706
-86.9603285,20.73041004,-0.9,855.568245
-86.95614014,20.73100103,-5.8,359.323635
-86.96019647,20.7310781,-0.8,205.20744
-86.95785107,20.73091506,-0.6,1571.412821
-86.95687376,20.73124145,MISS,750.778622
-86.95648223,20.73122112,-4.2,1012.674199
-86.95633065,20.73171671,-3.6,296.817686
-86.95492805,20.73313469,-5.6,558.707045
-86.95474185,20.73348987,-5.6,838.058585
-86.95478199,20.73389062,-5.4,1047.572971
-86.95496859,20.73419197,-5.6,310.780541
-86.95602166,20.73414431,-4.4,418.186583
-86.95899698,20.73043543,-0.3,87.301749
-86.95866986,20.73068971,-0.6,139.682301
-86.95713534,20.73121568,-1.9,69.840049
-86.95784069,20.73130998,-0.6,197.920409
-86.95769048,20.7312875,-1.5,261.901594
-86.95799559,20.73147019,-0.6,122.221082
-86.95560468,20.73156096,-6.2,860.318783
-86.95606523,20.73171858,MISS,1099.96856
-86.95700069,20.73186624,-1.1,69.839902
-86.95596333,20.73197441,-4.1,69.839179
-86.95649804,20.73182055,-2.6,838.074668
-86.95705183,20.73212227,-0.8,157.139813
-86.95597424,20.73218739,MISS,122.218534
-86.95784291,20.73232095,-0.7,349.202201
-86.95595936,20.73239367,-4.1,174.59785
-86.95630897,20.73244436,-2.6,69.839377
-86.95620661,20.7331171,-2.1,384.115847
-86.95526392,20.73325331,-5,157.13682
-86.95667366,20.73349262,-0.8,104.759308
-86.9549639,20.73370603,-5.3,104.757516
-86.95446443,20.73374506,-5.8,69.837998
-86.95554444,20.73307917,-4.3,8153.682801
-86.95737951,20.733922,-2.4,139.679965
-86.95518476,20.73390941,-4.6,209.515457
-86.95557615,20.73397501,-3.8,419.032498
-86.95644631,20.73381972,-1,5702.383877
-86.95531464,20.73414126,-4.6,296.813849
-86.95408057,20.7343238,-7.5,67.501125
-86.95442971,20.73436071,-5.9,646.000796
-86.95890296,20.7300053,-0.6,17.460342
-86.95886452,20.73009565,-0.6,34.920667
-86.95855713,20.73024015,-0.6,34.920555
-86.95744294,20.73034831,-3,34.920166
-86.95840338,20.73049312,MISS,34.920493
-86.959018,20.73081856,-0.6,34.920689
-86.95867223,20.73081848,-0.6,34.92057
-86.95673198,20.73105294,-3.6,34.919893
-86.95803815,20.73137855,-0.6,34.920328
-86.95771349,20.73144594,-0.6,261.901577
-86.95665491,20.73188422,-2.2,34.919831
-86.95813403,20.73199302,-0.8,52.380503
-86.95607858,20.73199251,-4.1,34.919628
-86.95773062,20.73202907,-0.7,34.920195
-86.95615538,20.7321371,-3.5,34.919649
-86.95561746,20.73228154,-5.3,34.919457
-86.9576921,20.73239049,-0.7,34.920166
-86.95701975,20.73239033,-0.7,17.459968
-86.95607844,20.73246238,-3.3,34.919608
-86.95596317,20.73249849,-4.1,34.919567
-86.95546358,20.73296823,-4.5,34.919375
-86.955963,20.73311293,-2.7,34.919541
-86.95433001,20.73358238,-7.7,52.378439
-86.95717307,20.73365539,-1,17.459967
-86.9560781,20.73365512,-1.8,34.919558
-86.95519433,20.73401633,-4.6,34.919238
-86.95970591,20.72558477,MISS,58.771459
-86.96130294,20.72582824,-5,366.677704
-86.96082486,20.72637029,-5.1,314.293489
