x,y,z,aream2
-86.95607731,20.73638397,-5.7,69.838885
-86.95424592,20.73636843,-8.4,104.756438
-86.9545153,20.73659416,-8,226.972808
-86.95619487,20.73710162,-6,177.466413
-86.95647556,20.73810941,-5.8,331.735299
-86.95603965,20.7385775,-5.3,139.677344
-86.9564207,20.73865411,-5.6,63.929236
-86.95571039,20.73893432,-5,1047.57603
-86.95505735,20.73910359,-3.8,139.675903
-86.95581715,20.73920311,-4.5,314.273126
-86.95412756,20.73344257,-8,439.190822
-86.95718351,20.73367198,-1.1,406.854672
-86.954424,20.73410965,-7.5,410.096059
-86.95403752,20.73395758,-7.9,1130.500733
-86.9565569,20.73033228,-6.1,139.679454
-86.95739835,20.7300652,-4.5,1693.627595
-86.95690932,20.73042549,-4.7,157.139903
-86.95634707,20.73045592,-6.1,340.677767
-86.95619056,20.73065748,-6,62.70049
-86.95580345,20.73124575,-5.9,738.333237
-86.95522216,20.73222806,-5.8,315.201287
-86.95496786,20.73251116,MISS,33.271817
-86.95824191,20.73262782,-2.6,139.681376
-86.95461295,20.73304764,-7.7,222.574753
-86.95700336,20.73338997,-2.8,44.622672
-86.95505715,20.73312203,-5.6,4003.070934
-86.95746296,20.73358285,-2.5,66.375377
-86.95722752,20.73351907,MISS,115.329037
-86.95485786,20.73388112,-5.6,5365.004973
-86.95962504,20.73015221,-0.6,1239.692797
-86.95997443,20.73026646,-0.8,558.736654
-86.95974378,20.73077469,-0.7,558.735029
-86.95768256,20.73210874,-0.7,384.12189
-86.95729542,20.73217992,-0.6,1097.829145
-86.95697671,20.73237477,-0.8,436.498995
-86.95565129,20.73416441,-4.4,230.1192
-86.95537087,20.73440869,-4.5,175.250363
-86.95752793,20.73025797,-3,226.981229
-86.95808005,20.73041172,-0.7,157.141713
-86.95756364,20.73049679,-2.3,122.22071
-86.95865279,20.7305727,-0.6,109.488957
-86.96021536,20.73023531,-0.8,2165.110319
-86.95730835,20.730782,-2.4,69.840205
-86.95904203,20.73079598,-0.6,69.841395
-86.95821688,20.73093894,-0.3,4186.713018
-86.95565606,20.73164903,-5.9,69.838997
-86.95577128,20.73177557,-5.5,104.758595
-86.95772744,20.73193569,-0.6,261.901475
-86.95834735,20.73205,-1,1501.576915
-86.9576764,20.73230012,-0.6,384.121825
-86.95545729,20.73257668,-5.2,209.516365
-86.95517934,20.73273322,-5.7,174.59643
-86.95577649,20.73277597,-4.3,244.436432
-86.9553135,20.73352332,-4.5,401.571968
-86.95680801,20.73392638,-2.6,69.839594
-86.95630872,20.73386745,-2.9,995.209421
-86.95732974,20.73395612,-2.6,293.888511
-86.95438743,20.73428418,-6.8,104.756847
-86.96095861,20.72595716,-5.7,176.749596
-86.96010855,20.72670017,-5.9,387.724831
-86.95976817,20.72709593,-6,69.84221
-86.95933659,20.72747881,-5.9,294.427192
-86.95876898,20.72805336,-6.3,191.785995
-86.95861314,20.72814945,-6.2,215.201789
-86.95842584,20.72850865,-5.5,466.143811
-86.95827822,20.72880187,-5.6,218.784024
-86.95817532,20.72893384,-5.8,181.264921
-86.96251285,20.72561243,-1.4,100895.9466
-86.95765013,20.72933791,-5.9,228.695945
-86.95757982,20.72952969,-5.8,151.499611
-86.95724809,20.72953265,-6.8,186.573609
-86.95750075,20.72969774,-5.2,69.840431
-86.95788716,20.72966725,-4.3,453.964525
-86.95814605,20.72974858,-2.9,7288.490725
-86.96462384,20.72595775,-0.9,2822.409827
-86.96417714,20.72641649,-0.9,296.532823
-86.96389831,20.72641821,-0.5,331.764259
-86.96324917,20.72682494,-0.7,907.980168
-86.96222072,20.72800573,-0.6,279.375275
-86.9621702,20.72838523,-0.6,279.375009
-86.96193236,20.72842061,-0.6,384.139769
-86.96138117,20.7293711,-0.7,279.372519
-86.96281184,20.72592216,-0.6,674.315667
-86.96274798,20.72619334,-0.2,91.393049
-86.96157459,20.72703032,-0.6,226.991241
-86.96147348,20.72723086,-0.3,157.147591
-86.96106952,20.72736279,-0.7,69.843084
-86.96125979,20.72752478,-0.6,325.974862
-86.96109024,20.72775053,-0.3,135.674183
-86.96097112,20.72798018,-0.3,269.424643
-86.96057469,20.72810815,-0.6,69.842679
-86.96149731,20.72874758,-0.6,4662.039274
-86.95997886,20.72940918,-0.4,104.763238
-86.95959787,20.72923267,-0.6,6528.628883
-86.96633899,20.72138663,-5.1,69.847215
-86.96682871,20.72123959,-4.5,1283.466056
-86.9666655,20.72154633,-4.1,104.77114
-86.9662772,20.72159776,MISS,344.969943
-86.96659104,20.7216555,-4.1,139.694734
-86.96672114,20.72180597,-2.8,87.309301
-86.96630184,20.721841,-3.6,122.232515
